sentence_index,NN,IN,JJ,RB,DT,PRP,VB,NNS,VBG,VBP,CC,VBZ,TO,PRP$,VBN,WRB,NNP,WP,MD,RP,VBD,UH,WDT,JJR,POS,RBR,EX,CD,JJS,RBS,PDT,FW
39,9,9,6,4,4,7,7,5,5,4,5,7,5,2,2,2,1,3,1,3,0,1,1,0,0,0,0,0,0,0,0,0
40,14,11,10,6,7,13,5,4,5,8,5,4,2,1,1,3,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0
41,10,7,8,8,4,10,4,2,2,6,4,2,2,1,1,1,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0
42,13,13,11,6,7,8,6,4,4,8,4,1,2,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
43,8,10,9,6,7,5,5,5,4,3,5,2,1,1,1,0,2,0,1,3,1,1,1,1,0,0,0,0,0,0,0,0
44,14,8,12,1,9,3,3,5,2,2,5,6,1,1,2,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
45,13,12,10,8,7,6,4,6,5,4,8,4,2,1,1,1,3,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0
46,8,10,3,7,6,7,5,12,5,2,5,4,2,0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0
47,8,8,5,10,7,4,7,4,4,1,4,4,2,0,2,0,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0
48,13,10,6,6,6,6,3,7,3,3,4,5,1,2,2,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
49,15,9,8,2,8,5,6,5,6,0,4,5,4,1,3,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0
50,11,7,7,7,8,4,6,5,3,1,6,4,5,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
