sentence_index,NN,IN,JJ,NNS,DT,VB,RB,PRP,VBP,VBG,CC,VBZ,MD,TO,VBN,WRB,VBD,JJR,PRP$,RBR,EX,NNP,WP,RP,WDT,JJS,CD,POS,UH,RBS,PDT,WP$
38,20,16,14,14,9,8,5,4,4,6,4,3,5,3,2,0,0,1,1,1,0,4,0,0,1,0,0,0,0,0,0,0
39,17,14,15,10,11,13,4,8,5,4,3,1,7,4,0,0,1,1,4,2,1,0,1,0,2,0,1,0,0,0,0,0
40,18,13,19,11,8,9,4,4,1,6,8,4,2,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
41,22,12,13,11,9,8,8,6,5,3,6,6,3,4,0,0,0,0,4,0,2,0,1,0,1,0,0,0,0,0,0,0
42,19,13,10,15,8,3,6,5,9,3,6,2,1,3,2,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
43,18,17,10,19,8,10,8,7,6,4,4,6,6,3,1,0,0,2,1,1,1,2,1,1,0,0,1,1,0,0,0,0
44,15,12,12,14,7,9,14,4,5,1,7,5,6,3,1,0,0,1,0,2,2,0,0,1,1,0,0,0,0,0,0,0
45,19,13,18,17,7,8,4,5,6,4,6,4,4,4,1,1,1,3,2,0,1,0,1,0,1,0,0,0,0,0,0,0
46,15,14,14,12,7,8,3,10,6,4,6,7,4,4,1,4,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0
47,19,15,12,16,13,10,12,7,7,5,7,4,2,6,4,1,1,2,1,2,1,2,0,1,0,0,0,0,0,0,0,0
48,13,18,21,22,10,10,10,5,4,5,7,3,4,6,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0
49,18,15,18,16,9,10,7,7,5,5,5,4,6,3,1,1,0,0,2,0,0,1,2,1,1,0,0,0,0,2,0,0
50,15,14,21,12,11,12,12,7,5,6,5,5,8,5,3,1,0,0,2,1,0,1,2,1,0,1,0,0,0,1,0,0
