sentence_index,NN,NNS,JJ,IN,RB,VBG,VB,DT,VBP,NNP,CC,VBN,PRP,VBZ,TO,MD,VBD,WRB,PRP$,CD,WP,WDT,RP,JJR,RBR,POS,EX,PDT,RBS,),(,JJS,NNPS,FW,UH,LS
36,54.5,140.5,33.0,17.5,18.0,24.5,13.5,7.0,20.0,16.5,7.5,20.0,4.0,7.5,4.0,3.5,6.0,1.5,2.0,4.5,1.5,0.5,1.0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0
37,36.5,67.5,15.5,11.0,11.0,18.0,6.5,5.5,9.0,11.0,3.0,8.0,2.5,6.0,2.5,1.0,1.0,2.0,2.0,2.5,1.0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
38,113.5,81.5,50.0,14.5,15.0,20.5,7.5,6.0,7.5,10.0,7.0,52.5,3.0,5.5,2.5,2.5,15.0,1.5,2.0,2.5,0.5,0.5,1.0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0
39,60.0,102.5,49.0,12.0,16.0,30.0,8.5,6.0,16.5,10.0,2.5,8.0,7.5,5.5,3.0,1.0,2.0,2.5,2.5,3.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,57.5,71.5,31.0,15.5,21.5,4.5,10.0,7.5,8.5,6.0,6.0,3.0,6.0,5.0,5.5,4.0,3.0,1.5,1.0,1.0,1.0,1.0,1.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5
41,21.5,13.0,17.5,15.0,6.5,4.0,7.5,8.5,5.5,11.5,4.0,1.0,6.0,3.0,3.0,2.0,2.5,2.0,2.0,3.0,2.0,1.5,0.5,0.5,0,0,0,0,0.5,0,0,0,0.5,0,0,0
42,26.5,103.0,21.5,16.5,6.0,5.5,6.5,8.5,11.5,15.5,6.0,2.0,3.0,4.0,3.0,1.0,0.5,3.0,0.5,2.5,0,1.0,1.0,0,0,0.5,1.0,0,0,0,0,0,0,0,0,0
43,22.0,11.5,15.0,17.0,8.0,5.5,6.0,8.5,5.0,10.5,6.0,1.0,7.5,4.0,1.5,2.5,1.5,2.5,1.5,0,0,0.5,2.0,0.5,2.0,0,1.0,0,0,0,0,0,0,0,0,0
44,20.5,11.0,16.0,12.5,4.0,2.0,4.5,6.5,3.5,3.0,3.5,2.0,3.5,2.5,2.0,2.0,2.0,2.0,0.5,0,2.5,1.0,0.5,0,0,1.0,0,0,0.5,0,0,0,0,0,0,0
45,87.5,20.5,32.0,18.0,3.5,56.5,10.0,8.0,8.5,9.0,8.0,1.5,4.5,4.0,4.0,3.5,1.5,2.0,0.5,1.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0,0
46,18.0,13.5,16.5,13.5,4.0,3.0,4.0,7.0,3.5,4.0,4.5,1.0,7.0,3.5,1.5,2.5,0,2.0,1.0,0,1.0,0,0.5,0,0,2.0,0,1.0,0,0,0,0,0,0,0,0
47,19.5,18.0,14.5,17.5,9.0,12.0,9.0,10.0,5.5,15.0,6.5,2.0,7.5,7.5,3.0,3.0,1.5,1.5,2.0,0.5,2.5,1.0,0.5,0.5,0,0.5,0,0.5,0,0.5,0.5,0,0,0,0.5,0
48,90.0,66.5,31.5,14.5,6.0,8.0,12.5,10.0,15.0,20.0,7.0,3.0,4.0,9.5,5.0,2.5,1.5,1.0,3.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,0,0.5,0,0.5,0.5,0.5,0,0,0,0
49,76.0,102.0,26.5,17.5,4.0,5.5,11.0,8.5,10.0,11.0,6.5,2.0,5.0,9.0,4.0,3.5,3.0,2.0,3.5,1.5,2.0,1.5,1.0,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0
50,19.0,12.0,9.5,11.0,5.5,2.0,7.0,7.5,7.5,3.0,4.5,0,10.5,3.5,3.5,1.5,2.5,3.0,1.0,0.5,2.0,0.5,1.5,0.5,0,1.0,0,0,0,0,0,0,0,0,0,0
