sentence_index,NN,IN,JJ,NNS,DT,RB,CC,VBG,PRP,VB,PRP$,VBZ,VBP,TO,VBD,NNP,VBN,MD,WRB,POS,WDT,WP,CD,JJR,EX,RP,RBR,WP$,PDT,RBS,JJS,NNPS
20,21,20,12,14,10,12,3,14,4,6,4,2,5,2,2,2,4,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0
21,23,19,20,16,10,9,5,5,4,3,2,7,5,3,2,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
22,28,17,11,6,13,8,2,6,5,2,4,5,0,1,7,6,4,1,2,1,2,1,0,0,0,0,1,0,0,0,0,0
23,21,17,12,9,7,6,5,1,5,8,4,10,1,4,0,5,1,1,2,3,2,0,2,1,0,0,0,0,0,0,0,0
24,20,19,15,25,11,7,7,5,5,3,6,3,7,2,2,2,3,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0
25,24,19,13,13,14,3,5,4,6,5,8,5,3,3,3,5,1,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0
26,26,19,19,14,11,5,9,3,5,7,5,2,4,4,3,6,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0
27,20,15,12,13,6,6,6,7,3,3,6,4,7,3,0,8,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0
28,24,17,15,12,10,5,6,2,7,6,5,5,5,2,1,7,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0
29,18,15,9,11,7,3,5,5,3,4,3,2,5,2,1,7,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0
30,27,18,8,9,13,4,7,3,3,2,4,9,1,2,0,5,1,1,1,2,1,0,2,0,1,0,0,1,1,0,1,1
31,21,17,16,11,11,5,5,5,4,4,5,4,3,5,1,8,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0
32,25,19,12,10,11,5,7,6,4,1,4,5,3,1,2,10,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
33,24,13,10,11,7,5,7,6,4,6,8,2,3,6,3,8,1,2,2,4,1,0,1,0,0,1,0,0,0,0,0,0
34,25,18,13,5,10,7,3,4,9,2,6,4,1,4,8,2,2,0,2,2,0,1,1,0,1,0,0,0,0,0,0,0
35,15,11,11,16,10,9,6,9,6,3,5,2,3,4,6,3,3,1,3,2,2,0,1,0,1,0,0,0,0,0,0,0
36,27,12,12,3,9,11,8,3,7,3,5,3,1,1,8,1,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
37,20,16,16,12,11,10,6,5,6,3,7,4,2,2,5,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
38,22,14,18,10,10,8,8,4,4,4,5,3,2,2,4,1,2,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
39,28,20,9,10,12,11,6,2,5,3,7,2,1,3,6,0,3,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0
40,23,17,12,10,10,13,7,6,8,3,5,3,2,4,6,1,3,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0
41,21,17,17,14,9,8,6,4,6,5,7,2,5,4,8,0,3,1,2,0,1,2,0,1,0,0,0,0,0,0,0,0
42,23,17,20,17,10,8,7,4,6,2,6,3,2,2,8,0,3,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0
43,23,19,14,16,14,6,8,6,6,6,6,2,3,4,3,2,5,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0
44,17,15,21,9,9,6,7,5,7,3,3,2,2,2,6,1,5,2,1,0,2,1,0,0,0,0,0,0,0,1,0,0
45,22,14,21,10,8,10,8,4,8,1,6,2,4,2,4,0,2,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0
46,25,13,14,9,8,10,6,5,5,2,3,7,1,1,4,1,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0
