sentence_index,NN,IN,JJ,NNS,DT,PRP,RB,VB,CC,VBG,VBZ,NNP,VBP,VBD,PRP$,TO,MD,WRB,VBN,RP,WP,POS,WDT,CD,JJR,PDT,RBR,JJS,UH,NNPS,EX,FW,$,WP$,(,)
22,27,15,10,12,14,8,8,8,6,1,8,3,4,0,2,2,1,1,3,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
23,21,17,12,9,7,5,6,8,5,1,10,5,1,0,4,4,1,2,1,0,0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0
24,20,19,15,25,11,5,7,3,7,5,3,2,7,2,6,2,1,4,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
25,22,14,15,9,10,13,8,3,4,4,5,5,5,5,2,2,2,4,2,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
26,26,19,19,14,11,5,5,7,9,3,2,6,4,3,5,4,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,26,15,13,10,8,10,4,6,4,5,5,7,4,2,3,3,2,1,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
28,24,17,15,12,10,7,5,6,6,2,5,7,5,1,5,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,18,15,12,8,6,8,6,5,5,5,6,7,4,3,2,3,0,2,1,2,1,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0
30,27,18,8,9,13,3,4,2,7,3,9,5,1,0,4,2,1,1,1,0,0,2,1,2,0,1,0,1,0,1,1,0,0,1,0,0
31,21,17,6,2,9,14,11,2,4,7,9,8,5,1,5,3,3,3,2,1,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
32,23,17,12,4,10,11,1,7,5,5,6,10,3,5,6,4,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,24,13,10,11,7,4,5,6,7,6,2,8,3,3,8,6,2,2,1,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
34,24,13,10,11,7,4,5,6,7,6,2,8,3,3,8,6,2,2,1,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35,16,15,14,9,11,9,10,5,4,8,1,3,3,7,3,2,2,1,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1
36,27,12,12,3,9,7,11,3,8,3,3,1,1,8,5,1,1,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
37,21,16,21,2,4,6,7,5,6,12,3,3,2,5,3,1,2,2,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,20,8,10,5,7,7,6,6,6,7,2,5,1,6,5,1,3,2,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,22,15,10,7,6,10,6,5,7,6,2,1,4,8,0,2,1,3,1,2,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0
40,23,17,12,10,10,8,13,3,7,6,3,1,2,6,5,4,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,24,11,14,9,12,8,5,5,7,3,2,1,1,8,0,1,3,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,20,16,9,6,7,8,6,6,6,6,6,3,0,8,3,1,4,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
43,15,15,9,6,7,8,6,6,2,8,5,5,2,5,3,0,1,2,2,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
44,17,9,8,8,6,10,8,5,6,6,5,2,4,5,1,3,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,17,9,8,8,6,10,8,5,6,6,5,2,4,5,1,3,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,17,9,8,8,6,10,8,5,6,6,5,2,4,5,1,3,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,18,11,11,0,7,6,3,5,3,6,3,4,0,3,3,2,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
48,19,8,11,3,2,5,6,3,4,6,4,1,0,4,3,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,18,7,10,5,6,8,8,3,8,5,6,3,2,5,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,18,7,10,5,6,8,8,3,8,5,6,3,2,5,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
