sentence_index,NN,IN,NNS,JJ,NNP,DT,VBG,VB,CC,PRP,VBP,RB,VBZ,TO,CD,PRP$,VBN,WRB,MD,WP,WDT,VBD,JJR,POS,RP,RBR,JJS,RBS,NNPS,EX,UH,FW,(,),WP$,PDT
16,27,19,29,19,15,13,8,9,8,3,7,3,3,2,4,4,1,1,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,27,15,23,22,9,10,8,13,6,4,4,4,5,4,4,2,2,3,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
18,32,20,11,13,15,12,12,12,5,7,3,4,7,1,4,4,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,27,16,23,24,11,11,11,11,8,4,5,7,4,4,4,1,2,2,3,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,26,15,17,15,14,13,9,15,6,4,7,3,3,2,4,3,4,2,5,1,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
21,30,19,17,13,15,15,9,9,6,6,6,3,4,2,4,4,4,3,1,1,0,2,1,1,0,2,0,0,0,1,0,0,0,0,0,0
22,31,19,19,26,17,14,11,9,7,3,4,3,3,3,4,2,2,3,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
23,38,23,23,21,14,10,7,14,7,6,5,4,2,5,4,1,5,1,5,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
24,31,19,16,18,19,13,8,10,7,7,5,5,2,3,4,4,4,3,2,3,2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,35,27,21,23,18,11,7,16,6,6,8,6,4,3,5,6,3,1,3,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
26,42,23,18,19,19,17,12,9,6,4,4,5,8,4,4,6,2,2,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
27,37,25,29,26,12,14,12,10,9,5,6,2,5,4,5,4,3,0,1,1,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
28,32,26,21,17,13,14,18,10,7,9,11,10,4,3,4,4,7,3,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,41,25,24,29,15,15,17,8,7,6,5,0,6,4,5,6,1,2,3,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
30,31,26,29,26,17,12,12,10,5,8,5,7,5,4,4,2,3,2,2,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
31,29,30,29,24,20,11,15,11,6,4,5,4,4,5,4,3,3,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
32,37,23,27,24,18,12,14,12,6,8,7,6,6,5,4,2,3,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,38,24,20,25,16,10,19,10,6,8,4,7,7,6,4,3,2,2,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
34,44,20,18,20,15,19,10,11,6,4,2,9,8,7,4,2,2,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,36,29,18,24,15,19,12,11,5,8,4,6,5,6,4,4,7,3,1,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
36,40,28,19,21,17,11,15,10,5,7,5,5,3,4,4,3,4,1,1,2,1,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0
37,39,23,23,19,18,12,16,8,7,8,7,5,4,2,4,5,5,4,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,32,30,28,24,17,10,14,12,3,6,6,4,6,5,4,2,6,2,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,29,26,16,21,16,15,12,13,2,8,4,5,5,4,4,6,4,2,1,2,4,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0
40,39,26,22,19,14,16,16,9,5,6,4,1,6,4,4,5,2,4,1,1,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
41,34,23,23,26,15,16,11,10,4,3,4,7,8,5,4,3,6,3,1,4,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0
42,30,23,29,27,15,12,12,7,3,5,8,3,5,5,4,3,5,4,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,32,22,25,23,15,12,13,8,4,3,5,5,3,3,4,4,9,5,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0
44,33,21,25,22,14,11,16,10,4,4,4,6,8,4,4,6,4,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,28,25,30,27,17,10,14,12,5,4,7,0,3,3,4,1,3,3,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,39,22,23,23,14,16,11,6,4,4,6,2,4,3,4,2,7,3,1,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
47,39,22,29,24,16,14,14,11,6,2,3,1,4,5,4,6,2,2,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,41,18,20,19,14,18,10,14,4,3,1,4,10,5,5,3,6,3,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,36,27,32,33,16,15,11,19,7,4,3,5,3,5,4,2,1,2,7,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,38,29,30,21,17,16,13,16,6,3,5,1,3,4,4,4,1,4,1,1,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0
