sentence_index,NN,NNS,JJ,IN,VB,VBG,DT,CC,CD,TO,NNP,VBP,MD,VBN,RB,VBZ,PRP,PRP$,WDT,WRB,WP,VBD,JJR,JJS,POS,NNPS,RBS,(,),RBR,RP,PDT,FW
38,35,16,14,12,5,9,7,7,4,2,0,3,2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
39,14,21,20,12,7,9,2,3,4,4,1,2,3,6,2,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,22,20,15,10,8,10,6,7,4,5,1,4,2,2,1,5,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
41,17,22,16,12,7,10,5,7,4,6,1,2,1,2,1,5,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
42,11,22,20,13,7,11,5,3,4,3,1,1,2,2,4,1,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0
43,23,23,14,13,7,8,5,5,4,6,1,1,2,4,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
44,25,22,28,13,10,2,7,7,4,5,13,5,2,4,1,1,1,1,1,2,0,1,0,0,0,1,0,1,1,0,0,0,0
45,22,21,22,11,11,5,5,5,4,4,12,5,2,1,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,22,19,18,8,12,5,4,6,4,3,16,3,2,2,2,1,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0
47,22,21,24,10,6,4,6,7,4,3,13,8,1,6,2,2,1,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0
48,24,24,19,12,10,9,7,7,4,4,15,3,1,2,4,1,1,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0
49,24,21,14,11,12,6,10,6,4,6,16,3,1,4,2,3,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
50,25,28,26,13,17,8,5,5,4,6,15,2,5,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
