sentence_index,NN,IN,JJ,NNS,DT,VB,RB,PRP,CC,VBP,VBG,VBZ,MD,TO,VBN,WRB,JJR,EX,PRP$,VBD,RBR,WDT,NNP,WP,RP,JJS,CD,POS,UH,PDT,RBS,WP$
11,10.5,10.0,6.5,6.5,8.0,6.0,8.5,7.0,3.0,2.5,5.5,1.0,2.0,2.5,0,1.5,1.5,0.5,1.0,6.5,0.5,0,0,0.5,1.0,0.5,0.5,0,0.5,0.5,0,0
12,10.5,7.0,6.5,6.5,6.5,4.0,7.5,6.5,4.0,4.5,4.0,3.5,1.5,2.0,1.0,1.0,1.5,1.5,1.5,2.0,0.5,1.0,1.0,0.5,1.5,0.5,0,0.5,0,0,0,0
13,11.5,10.5,3.0,7.5,8.5,4.5,8.5,7.0,2.5,3.5,2.5,1.5,2.5,1.0,2.5,1.0,0.5,1.0,0,3.0,1.5,1.0,0.5,0,1.5,0,0,0.5,0,0,0,0
14,10.0,11.5,5.5,13.0,6.0,7.0,6.5,6.5,2.5,4.0,7.5,3.5,1.5,2.5,1.0,2.0,0.5,1.0,0.5,0.5,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0
15,16.0,10.5,6.0,4.5,7.0,7.0,5.0,6.0,2.5,3.0,4.0,4.0,3.0,2.0,1.0,1.0,0.5,2.0,0.5,0.5,0.5,1.0,0.5,0,1.0,0.5,0,0,0,0,0,0
16,12.5,6.5,10.0,6.0,5.5,9.0,6.0,5.5,4.5,3.5,3.0,4.0,3.0,3.0,0,0,0.5,0.5,2.0,1.0,1.5,0.5,1.5,1.5,0.5,0,0,0,0,0,0,0
17,15.0,11.0,9.0,5.0,6.5,6.0,6.0,5.5,2.5,4.0,3.0,2.0,3.5,1.5,1.0,0.5,2.0,0.5,0.5,1.0,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0
18,14.5,9.5,12.0,8.0,6.5,5.0,4.5,5.0,3.0,4.5,3.0,2.5,1.0,3.5,1.0,1.5,0.5,1.0,1.5,1.0,1.0,0.5,0.5,1.0,1.0,0,0,0,0,0,0,0
19,15.0,8.5,9.0,4.5,7.5,7.0,7.0,8.0,5.0,2.5,5.5,6.5,3.5,1.5,0,1.5,1.0,1.5,0.5,1.0,1.0,0,0.5,0.5,1.5,0,0,0,0.5,0,0,0
20,11.5,7.5,11.5,8.5,7.0,8.0,6.0,6.5,4.0,4.5,2.5,4.5,4.5,2.5,0.5,0.5,1.5,0.5,0.5,0,0.5,0.5,0.5,0,1.0,0,0,0,0,0,0,0
21,19.0,11.0,11.0,10.0,9.0,9.0,6.5,4.0,3.0,1.5,4.5,3.5,4.5,3.0,1.0,1.5,2.0,1.0,0,0,1.0,1.5,0.5,0,0,0,0,0,0,0,0,0
22,14.5,11.5,8.5,8.0,6.0,8.5,10.0,5.0,4.0,3.0,5.0,3.5,4.5,2.5,2.0,1.5,1.0,0.5,0.5,0.5,1.0,0,0,1.0,0.5,0,0,0,0,0.5,0.5,0
