sentence_index,NN,IN,NNS,JJ,DT,VBG,PRP,VBP,RB,CC,VBZ,VBN,VB,TO,PRP$,WRB,VBD,MD,WDT,WP,NNP,POS,RP,UH,CD,EX,RBR,RBS,JJS,JJR,PDT,FW
28,31,22,16,17,11,11,7,6,4,8,5,8,4,2,7,2,1,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0
29,26,18,20,16,11,10,9,8,8,8,3,9,5,4,3,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
30,23,19,23,20,11,6,12,6,9,8,7,9,5,3,3,2,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
31,39,23,17,19,16,10,7,7,9,4,4,9,4,5,5,3,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
32,26,18,21,14,12,10,8,9,7,6,2,5,6,6,1,4,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0
33,25,19,28,17,8,12,7,6,4,7,9,5,3,3,3,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,23,20,18,24,8,12,11,8,5,5,5,4,5,3,4,1,4,2,2,2,1,1,0,0,0,0,1,0,0,0,0,0
35,23,20,18,22,8,11,6,7,6,6,6,4,2,2,3,1,2,1,3,1,2,1,1,0,0,0,0,0,0,0,0,0
36,23,19,23,23,12,10,6,5,2,5,5,4,5,3,3,4,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0
37,23,18,21,26,8,11,8,8,4,6,3,4,5,3,3,3,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0
38,28,18,22,27,10,9,8,8,5,6,3,4,7,4,1,4,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
39,30,25,25,25,10,11,7,7,3,6,6,6,4,4,2,5,2,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0
40,31,21,22,22,13,6,7,6,10,7,8,4,5,4,4,3,3,2,3,1,0,2,1,0,0,1,0,0,0,0,0,0
41,36,28,23,18,12,13,8,6,5,6,7,5,7,4,3,5,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0
42,29,22,26,26,9,15,7,8,4,6,2,6,5,2,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0
43,31,28,23,21,10,12,9,11,3,5,4,6,5,3,3,4,1,2,1,2,4,2,0,0,1,0,0,0,0,0,0,0
44,33,26,22,21,10,14,7,9,3,5,2,5,4,2,5,3,3,2,3,1,4,1,3,0,0,0,0,0,0,0,0,0
45,24,19,27,30,8,10,8,7,3,6,3,5,5,4,2,5,2,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0
46,35,30,26,19,12,10,6,10,5,7,2,5,2,1,3,3,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0
47,29,27,26,26,10,10,7,4,4,5,7,5,8,4,3,3,2,4,0,1,2,1,1,0,0,0,1,0,0,0,0,0
48,22,26,24,27,14,11,7,7,5,7,2,4,4,3,2,2,1,2,0,1,3,1,2,0,0,0,0,0,0,0,0,0
49,27,26,22,22,12,9,8,7,3,6,5,4,5,4,1,3,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0
50,32,26,24,14,10,11,7,7,4,5,5,5,4,2,1,3,2,2,4,1,1,3,1,0,0,0,0,1,0,0,0,0
