sentence_index,NNS,NN,JJ,IN,RB,VBG,VB,DT,VBP,NNP,CC,PRP,VBN,VBZ,TO,MD,VBD,WRB,PRP$,WP,RP,CD,JJR,WDT,RBR,POS,EX,(,),PDT,RBS,JJS,FW,NNPS,UH
41,23,39,32,23,12,7,11,14,8,22,7,8,2,6,5,3,4,3,3,3,1,5,1,2,0,0,0,0,0,0,0,0,0,1,0
42,194,36,32,19,8,6,9,9,18,30,8,3,4,5,3,1,1,3,1,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0
43,17,30,19,22,14,9,8,12,6,21,8,8,2,6,2,3,2,2,2,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0
44,17,36,25,18,6,3,6,11,6,4,5,6,2,5,3,4,1,4,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
45,17,24,18,15,3,4,7,6,3,4,6,7,3,5,6,4,2,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
46,23,32,33,24,8,6,5,12,5,6,8,10,1,7,2,3,0,3,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0
47,17,23,22,19,6,10,6,10,7,28,5,8,0,11,3,1,2,3,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1
48,19,28,19,17,8,8,8,11,5,25,7,7,4,7,5,3,2,1,4,2,1,1,0,1,1,2,0,0,0,1,0,0,0,0,0
49,29,19,23,23,5,5,9,12,6,3,6,8,3,9,4,4,1,3,5,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0
50,20,33,17,16,9,3,12,12,14,5,8,17,0,7,5,3,4,5,2,4,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0
