sentence_index,NN,JJ,NNS,IN,NNP,DT,VB,VBG,RB,CC,VBZ,PRP,VBP,TO,VBN,CD,PRP$,WRB,MD,VBD,WDT,WP,JJR,POS,RBR,RP,NNPS,RBS,PDT,JJS,),(,FW,EX,UH,WP$
40,28.0,20.0,24.5,17.0,17.0,8.0,7.0,7.0,4.5,8.0,5.5,4.0,8.0,3.0,4.0,3.5,3.5,3.5,0.5,2.0,1.0,1.0,1.5,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0
41,29.5,25.5,20.0,16.0,17.5,6.0,8.0,7.0,6.0,9.0,7.0,6.5,6.0,2.5,1.0,3.5,3.5,2.0,1.0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0
42,30.0,20.0,18.5,13.5,16.5,12.5,9.0,8.0,7.5,7.0,4.5,5.0,6.5,3.0,3.5,3.5,2.0,3.5,1.5,0.5,1.0,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0
43,24.5,24.0,19.0,14.0,17.0,6.0,8.0,6.5,6.0,7.5,6.0,5.5,6.5,3.5,3.0,4.0,2.0,2.0,1.5,0.5,0.5,0,0,1.0,0,0,0.5,0.5,0,0,0,0,0,0,0,0
44,28.5,18.5,18.5,17.0,17.0,9.0,9.0,8.5,5.0,8.0,7.0,5.0,4.5,4.0,2.5,3.5,1.5,1.5,0,1.0,0,1.0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
45,33.5,19.0,18.5,18.0,17.5,12.0,7.0,8.5,7.5,8.0,5.5,2.5,2.5,1.5,2.0,3.5,3.0,0.5,1.0,2.0,0.5,1.5,1.0,1.0,0,0,0,0.5,0,0,0,0,0,0,0,0
46,27.5,19.5,19.5,14.0,16.0,7.5,6.5,7.0,7.0,6.5,5.0,6.5,6.0,2.5,1.0,3.5,1.5,1.5,1.0,1.5,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,29.0,20.0,17.0,16.0,15.0,5.5,8.5,10.0,6.0,8.0,2.0,7.0,8.0,2.0,2.5,3.5,3.0,2.5,0.5,2.0,0.5,1.0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
48,29.5,18.0,17.0,12.5,17.0,7.5,8.0,8.0,6.5,5.5,4.5,4.5,6.0,1.5,3.0,3.5,2.5,2.0,1.5,1.0,0.5,1.5,1.0,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0
49,31.5,24.5,15.0,12.0,22.0,7.0,9.0,9.0,10.0,6.5,5.0,6.0,3.5,2.0,1.5,3.5,2.5,2.5,1.5,1.0,0.5,1.0,0.5,0,0,0,0,0.5,0,0,0,0,1.0,0,0,0
50,29.5,25.5,18.0,15.0,16.5,10.0,6.5,9.0,11.0,6.0,6.5,5.0,5.0,1.5,3.0,3.5,3.5,1.5,1.0,0,0.5,0.5,1.0,1.0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0
