sentence_index,NN,IN,JJ,NNS,DT,VBG,RB,VB,CC,VBP,PRP,VBZ,TO,PRP$,WRB,VBN,VBD,MD,WP,WDT,POS,EX,RBR,JJR,CD,NNP,RBS,RP,JJS
16,22,10,11,8,11,9,6,8,6,5,4,5,5,2,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0
17,18,16,14,17,9,11,8,8,4,6,8,4,2,5,3,3,0,6,1,1,1,0,0,2,0,0,0,1,0
18,23,14,9,7,17,10,8,4,5,4,3,8,3,1,2,6,0,1,1,1,0,0,1,0,0,0,0,0,0
19,25,15,18,18,12,10,9,4,6,7,3,5,4,6,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0
20,14,19,18,17,10,8,5,5,4,4,4,3,3,4,4,3,1,0,1,0,1,0,0,0,0,0,1,0,0
21,20,12,14,12,9,4,10,6,7,3,5,4,4,2,3,3,4,2,1,0,0,0,0,0,1,2,1,0,0
22,21,10,14,14,9,8,8,6,5,4,2,5,4,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
23,22,10,13,12,5,9,8,6,6,4,3,3,4,3,2,1,1,1,0,0,1,0,1,0,0,1,0,0,0
24,19,12,9,10,7,10,8,7,4,4,6,6,5,4,2,1,0,2,0,1,0,0,0,2,0,0,0,1,0
25,19,15,11,12,7,11,4,6,5,4,4,6,3,3,3,4,0,1,1,0,0,1,0,0,0,1,1,0,0
26,16,13,13,15,5,10,6,6,5,7,3,3,4,4,3,3,0,2,0,0,0,0,1,0,0,0,0,0,0
27,23,13,13,10,9,6,8,7,4,6,4,3,4,4,3,1,0,2,1,0,0,0,1,0,0,0,0,0,0
28,20,16,16,13,8,8,9,6,7,5,4,8,4,4,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0
29,29,16,13,18,7,11,7,11,7,1,4,4,4,3,1,2,1,4,1,1,0,1,0,1,1,0,0,0,0
30,22,12,11,14,7,5,7,6,6,3,5,6,2,3,3,0,0,1,1,0,1,0,0,1,1,0,0,0,0
31,21,14,11,15,9,5,6,4,7,3,3,6,2,3,4,2,1,0,1,1,0,1,0,0,0,0,0,0,0
32,17,13,13,11,3,8,2,4,5,2,2,3,2,3,2,2,0,1,1,0,0,0,0,0,0,1,0,0,1
33,24,10,18,11,8,9,4,5,5,5,2,5,3,3,3,4,0,1,1,1,1,1,0,0,0,0,0,0,1
34,17,11,16,12,5,7,6,5,4,4,3,2,3,3,1,1,1,2,1,1,0,0,0,1,0,0,0,0,0
35,20,12,11,13,9,7,4,5,4,3,1,3,2,2,2,4,3,1,1,0,1,1,0,1,0,0,0,0,0
36,14,11,13,11,6,9,5,3,3,5,2,3,2,2,2,2,0,0,1,1,0,1,0,0,0,0,0,0,0
37,11,10,13,16,6,7,2,7,4,4,3,4,4,1,4,2,1,1,1,1,0,1,0,0,0,0,0,0,0
38,18,12,12,16,5,7,5,7,5,6,2,1,5,2,3,2,1,2,1,1,0,1,0,0,0,0,0,0,0
39,20,5,9,9,7,4,8,3,4,3,2,4,2,2,3,4,4,1,1,0,1,1,0,0,0,0,0,0,0
40,19,13,13,8,8,8,3,4,4,3,2,2,1,1,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0
41,16,12,13,10,3,4,5,4,2,4,3,4,2,2,4,5,3,0,1,0,0,2,1,0,0,0,0,0,0
42,15,10,8,7,6,8,7,5,3,3,7,4,1,2,5,3,6,1,0,1,1,0,0,0,0,1,0,3,0
43,18,9,12,14,7,4,6,8,7,5,4,2,2,2,2,4,1,1,1,0,1,0,1,0,1,0,1,0,0
44,15,9,11,11,9,6,4,6,3,4,3,4,2,1,3,4,3,2,1,0,0,0,0,0,0,0,0,0,0
45,23,13,13,9,12,4,9,3,5,4,5,4,1,2,3,3,5,1,2,0,1,1,2,1,1,0,0,0,0
46,22,16,10,9,8,8,6,5,4,2,1,3,3,3,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0
47,23,15,12,12,9,8,6,3,5,7,2,1,2,3,3,3,3,0,3,0,1,0,0,0,1,0,1,0,0
48,22,12,13,13,11,4,10,4,5,8,2,0,0,4,1,4,2,1,2,0,1,0,0,1,1,0,1,0,0
49,15,9,15,15,6,9,9,7,5,5,3,6,2,3,3,2,0,2,1,1,0,0,0,0,1,0,0,0,0
50,22,16,16,14,5,6,7,4,5,3,2,5,3,3,3,2,5,1,1,0,0,0,1,0,1,0,1,0,0
