sentence_index,NN,JJ,IN,NNS,DT,RB,CC,PRP,VBZ,VBP,VBG,VB,NNP,PRP$,TO,VBN,MD,VBD,WRB,WDT,POS,WP,CD,JJR,RP,RBR,PDT,FW,EX,RBS,WP$,(,),NNPS
21,23,18,15,13,13,2,5,5,5,6,5,4,0,2,2,4,0,4,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
22,20,13,13,9,11,3,5,4,4,3,3,3,1,4,1,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,27,12,9,8,13,2,9,7,9,3,4,4,2,0,3,4,2,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
24,21,16,14,11,13,8,5,4,4,7,4,5,2,2,3,1,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,18,15,13,7,12,6,5,6,6,6,4,4,4,0,3,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
26,26,11,15,9,16,4,5,4,7,4,5,2,0,3,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,19,15,16,8,13,5,6,4,4,3,4,2,3,2,2,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,24,15,10,4,13,8,4,5,7,3,6,2,0,3,3,1,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
29,24,15,10,11,10,7,9,3,4,5,2,3,0,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,26,18,11,8,14,7,6,3,6,2,5,1,1,2,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,22,14,11,9,15,11,7,3,3,4,4,4,1,1,2,4,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
32,18,14,13,14,9,5,6,4,5,4,3,5,5,4,5,3,1,0,2,1,0,0,0,0,0,0,1,4,0,0,0,1,1,0
33,23,14,11,6,15,5,6,3,6,4,4,1,6,3,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,20,10,14,9,11,10,7,4,4,5,5,1,4,2,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,29,13,12,9,11,5,6,3,4,4,3,3,5,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,17,17,8,10,9,8,6,4,5,3,3,4,9,3,3,3,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
37,19,13,11,11,11,5,7,5,5,4,3,2,4,2,3,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
38,21,12,17,13,10,10,7,5,6,4,0,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,15,15,16,13,8,7,7,5,6,6,7,2,4,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,20,13,14,13,8,4,7,3,5,5,2,1,6,2,1,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
41,17,20,9,13,6,6,7,3,5,2,2,1,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,18,12,10,10,8,6,5,4,6,3,2,3,9,3,3,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
43,11,13,13,12,7,7,6,5,6,3,4,5,9,2,3,1,2,0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0
