sentence_index,NN,IN,JJ,RB,DT,NNS,VB,PRP,VBP,VBG,CC,VBZ,TO,WRB,VBN,NNP,MD,PRP$,WP,RP,VBD,POS,UH,WDT,JJR,JJS,RBR,EX,CD,PDT,RBS,FW,NNPS,WP$
39,16.0,11.0,10.5,6.0,7.5,8.0,10.0,7.0,5.5,4.0,6.0,6.0,5.0,1.5,1.5,2.5,2.0,2.5,2.0,2.5,0.5,0.5,0.5,1.0,0,0,0,0,0,0,0,0,0,0.5
40,15.5,13.0,10.5,7.5,6.5,8.0,6.5,9.5,5.5,6.5,6.5,5.0,2.0,2.5,1.0,2.0,1.5,1.5,1.5,1.0,1.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
41,15.0,8.5,11.5,8.5,9.0,7.0,8.0,7.5,4.0,3.5,5.0,4.0,2.5,0.5,0.5,1.0,3.0,0.5,1.5,0.5,0,0.5,0,0.5,1.5,0,0,0,0,0.5,0,0,0,0
42,18.0,10.5,11.0,6.5,8.0,8.5,7.5,6.5,8.0,4.0,4.5,3.0,2.5,2.5,1.5,3.0,1.5,0.5,1.0,1.0,0.5,0,0.5,1.0,0,0,0,0,0.5,0,0,0,0,0
43,12.0,11.5,9.0,6.0,7.0,8.5,7.5,7.0,5.5,6.0,4.5,1.5,1.5,0.5,1.5,2.0,1.5,1.0,0,2.0,1.0,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0
44,15.0,10.0,12.5,7.0,9.0,10.0,5.5,4.5,5.5,3.0,5.0,5.0,3.5,0.5,1.0,1.5,2.0,1.5,1.0,0.5,0,0,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0
45,16.0,13.5,11.5,8.0,8.0,9.0,7.5,7.0,4.0,5.0,6.0,3.5,2.5,1.5,1.5,3.5,1.5,2.0,1.0,1.0,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0.5,0,0,0
46,12.5,10.0,6.0,6.0,8.5,9.5,6.5,6.0,2.5,3.5,4.0,5.0,3.0,1.0,2.0,1.5,1.0,0.5,1.5,1.0,2.0,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0
47,10.5,9.0,7.0,9.0,6.5,9.5,9.0,4.5,3.0,3.5,4.0,3.0,2.5,1.0,2.0,2.0,2.5,0,1.5,0,1.0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
48,15.5,10.5,9.5,7.5,6.5,10.5,8.5,6.5,4.0,2.5,3.5,4.0,2.5,3.0,2.0,1.5,3.0,1.5,0.5,0.5,0.5,1.0,0,0,1.0,0.5,0,0,0,0,0,0,0,0
49,18.0,9.0,11.0,5.0,7.0,9.0,9.0,5.5,1.5,6.5,4.5,3.0,3.5,1.5,2.5,2.0,2.0,1.5,0,1.5,0,0,0.5,0.5,0,0.5,0,0.5,0,0,0,0,0,0
50,12.5,11.0,12.0,7.5,8.5,12.0,8.5,4.5,3.0,2.5,7.0,3.0,6.0,1.0,4.0,1.5,1.0,1.0,0.5,1.0,1.0,1.0,0,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0
