sentence_index,NN,JJ,IN,NNS,DT,PRP,RB,VBG,VB,VBP,CC,VBZ,VBN,TO,MD,WRB,VBD,PRP$,WDT,NNP,RBR,JJR,RP,CD,EX,WP,PDT,POS,(,),JJS,RBS,#,UH,NNPS
41,27,23,16,8,8,7,12,9,5,3,7,7,1,4,1,1,2,4,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
42,26,23,18,16,11,5,7,10,4,6,7,4,2,3,2,2,1,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
43,30,21,15,11,10,12,13,5,7,13,9,4,2,2,2,0,0,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
44,19,16,10,13,6,10,11,8,5,7,5,7,8,2,1,3,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
45,27,18,13,14,12,8,9,7,6,7,6,7,5,4,2,2,1,2,2,2,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0
46,28,20,14,17,14,7,9,9,8,10,4,8,4,4,3,3,1,3,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
47,22,26,14,13,6,8,8,7,9,6,5,7,6,5,3,2,1,0,2,0,2,0,1,1,1,2,0,0,0,0,1,0,0,0,0
48,29,17,14,13,10,9,9,5,3,6,8,9,3,2,1,2,1,1,1,2,1,0,2,1,0,2,0,0,1,1,0,1,0,0,0
49,25,18,20,16,8,9,6,8,12,7,4,3,3,5,4,1,1,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
50,26,22,22,14,12,9,8,12,5,12,7,5,2,3,0,1,0,3,0,2,2,0,1,0,1,1,0,0,1,1,0,0,0,0,0
