sentence_index,NN,JJ,NNS,VBG,IN,RB,DT,VB,CC,VBP,VBZ,VBN,PRP,TO,NNP,MD,PRP$,WRB,VBD,WDT,CD,WP,JJR,RBR,POS,JJS,RP,EX,RBS,UH,(,),NNPS,FW
40,6,6,10,3,6,0,5,1,4,3,0,3,3,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
41,10,8,9,2,9,4,4,4,2,2,2,1,2,2,2,2,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
42,7,8,8,4,3,2,5,4,5,4,1,4,4,1,2,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,9,3,5,4,3,1,3,3,4,4,0,1,2,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,7,7,11,7,5,4,3,5,3,5,1,2,3,4,0,1,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
45,7,12,15,5,8,2,4,4,2,3,3,2,4,5,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,159,70,0,174,3,4,0,0,0,3,0,4,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
47,10,9,10,6,6,4,6,3,5,4,2,2,5,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,3,3,7,1,3,1,3,5,3,3,0,1,2,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,160,69,0,174,3,4,0,0,0,3,0,4,0,0,1,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
50,5,7,11,3,6,5,4,2,3,4,3,2,3,1,0,0,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
