sentence_index,NN,JJ,NNS,VBG,RB,IN,VB,DT,CC,NNP,VBP,MD,TO,VBN,VBZ,PRP,VBD,CD,PRP$,WDT,WRB,JJR,WP,RBR,JJS,FW,POS,EX,(,),RP,RBS,NNPS,UH
21,20,16,34,12,7,24,8,6,6,1,6,6,3,1,1,5,0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
22,24,25,34,9,7,22,8,5,8,1,5,4,4,4,2,2,0,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
23,27,25,40,14,10,19,6,7,11,0,6,2,4,2,3,2,0,0,6,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0
24,31,24,38,14,11,28,13,9,12,3,5,7,6,4,0,3,0,0,1,0,1,2,1,2,0,0,0,0,2,2,0,0,0,0
25,21,28,36,11,10,24,11,12,9,1,6,7,4,3,3,3,0,0,1,3,1,1,2,1,1,0,0,0,0,0,1,0,0,0
26,23,44,30,16,7,17,8,8,9,2,6,4,5,4,5,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
27,35,43,44,13,5,29,15,15,10,23,4,3,4,1,4,1,1,7,1,1,3,1,0,0,0,0,1,0,1,1,0,1,0,0
28,41,49,45,11,8,32,12,13,12,19,6,4,4,2,2,3,2,6,2,3,3,0,2,0,1,0,1,0,0,0,1,1,1,0
29,47,53,44,11,24,35,16,10,9,20,3,5,5,10,9,2,4,6,1,0,2,0,2,1,0,0,1,0,2,2,0,0,0,0
30,41,53,38,62,125,24,10,11,11,13,2,3,3,7,6,2,5,5,3,0,4,1,2,6,1,0,4,0,1,1,1,0,2,0
31,51,105,30,64,61,16,15,7,8,12,6,6,5,5,8,2,1,6,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
32,94,93,35,81,42,19,9,4,8,9,1,1,4,12,4,0,5,5,1,0,1,1,0,0,3,1,1,0,1,1,0,0,0,0
33,96,78,30,87,40,19,12,7,9,16,3,3,4,7,3,2,5,5,2,1,2,1,0,0,3,1,0,0,0,0,0,0,1,0
34,89,98,29,85,33,13,9,5,10,13,4,1,9,10,0,2,8,4,2,1,0,1,0,1,3,1,1,0,0,0,0,0,0,0
35,101,84,23,75,47,14,6,6,7,14,10,1,2,12,4,1,7,5,2,1,1,2,1,1,3,1,0,0,0,0,0,0,0,0
36,127,90,19,76,28,15,8,1,7,14,4,2,2,11,1,0,7,4,0,1,0,1,0,1,2,6,0,0,1,1,0,0,0,0
37,127,92,18,71,27,13,11,3,6,16,4,2,4,8,2,0,7,4,0,2,0,1,0,1,3,6,0,0,0,0,0,0,1,0
38,98,92,27,78,33,15,11,3,8,18,4,1,6,11,2,0,6,5,2,2,0,1,0,1,3,2,0,0,1,1,0,0,1,0
39,29,26,30,8,15,22,9,11,8,1,6,3,5,2,3,3,4,1,4,3,0,3,1,2,0,0,0,1,0,0,1,0,0,0
40,120,91,25,74,26,20,2,7,8,1,12,1,4,13,0,1,8,0,2,3,1,1,0,1,2,1,0,0,0,0,1,1,0,0
41,27,21,29,7,23,20,11,8,9,6,2,5,5,2,4,3,0,1,2,2,1,1,1,2,0,0,1,0,2,2,0,0,0,1
42,15,19,22,9,35,14,3,9,5,3,6,1,3,5,8,5,3,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0
43,42,19,22,65,20,23,8,6,8,6,4,2,3,1,4,3,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
