sentence_index,NNS,NN,JJ,IN,VB,RB,VBG,DT,CC,MD,VBP,NNP,TO,VBZ,VBN,PRP,PRP$,WDT,CD,WRB,JJR,WP,RBR,VBD,POS,EX,RP,JJS,(,),NNPS,UH,RBS,FW,PDT
38,19,28,23,19,11,13,8,8,6,2,4,15,4,1,1,2,2,1,4,0,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0
39,30,22,19,17,14,26,8,5,8,2,2,18,3,3,3,1,2,2,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
40,25,30,23,21,8,14,10,12,11,4,6,2,4,7,3,5,1,3,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
41,21,20,16,13,3,13,10,3,7,1,7,1,4,3,1,3,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
42,23,28,20,22,9,9,7,11,10,6,8,6,2,7,3,6,1,0,0,2,2,1,1,1,1,1,0,1,3,3,0,0,0,0,0
43,25,18,16,16,4,12,8,9,7,1,4,4,1,6,5,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,21,27,17,19,10,40,7,6,8,5,5,4,4,2,2,3,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
45,33,27,20,18,13,18,65,7,7,6,4,3,6,3,2,2,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
46,28,23,20,17,11,35,9,6,8,6,7,0,2,2,4,1,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,23,32,26,18,6,21,7,9,5,3,4,6,3,8,3,2,3,2,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
48,20,27,15,11,10,20,6,7,7,4,6,4,3,3,1,1,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,32,28,25,17,15,13,11,10,9,8,3,1,6,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,19,35,16,19,3,15,9,9,5,2,5,14,3,6,6,2,1,0,0,2,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0
