sentence_index,RB,NN,JJ,NNS,VBG,IN,VB,DT,NNP,CC,VBP,MD,TO,VBN,CD,VBZ,PRP,WRB,PRP$,JJR,VBD,WDT,WP,RBR,POS,RP,EX,NNPS,JJS,RBS,(,),PDT,UH
24,3,9,11,9,3,10,4,6,0,2,2,1,1,0,0,3,2,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0
25,19,104,98,19,91,11,11,5,9,5,4,5,3,4,4,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
26,98,30,46,29,82,15,14,8,16,8,3,5,2,2,6,8,3,4,3,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0
27,95,91,76,26,26,16,11,6,13,7,4,3,2,11,4,2,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
28,28,135,65,26,62,15,26,7,10,7,8,6,6,4,5,3,2,0,1,0,2,1,0,1,0,2,1,0,0,0,0,0,0,0
29,102,42,54,33,76,23,11,2,5,8,6,4,4,7,6,2,0,0,2,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0
30,83,71,51,19,85,6,15,3,10,7,8,2,3,3,3,0,2,0,1,1,1,2,0,2,0,2,1,0,0,0,1,1,0,0
31,107,97,46,33,10,18,10,5,15,11,6,4,3,1,5,4,1,0,2,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0
32,101,39,40,31,12,19,18,8,7,10,4,8,5,2,5,6,3,2,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
33,2,10,5,1,3,6,0,3,0,1,2,0,0,1,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,1,4,2,5,2,4,4,4,0,1,1,1,1,1,0,0,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35,86,30,35,31,11,26,13,9,11,10,7,2,5,6,5,7,7,3,1,4,0,1,2,3,1,0,0,0,0,1,0,0,0,0
36,89,81,46,35,33,17,13,6,14,7,6,1,5,4,6,3,2,1,2,0,2,0,0,0,0,1,0,1,1,1,0,0,0,0
37,111,83,47,37,6,14,8,7,17,9,12,1,7,4,5,2,1,3,1,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0
38,75,32,25,20,8,19,1,13,0,6,2,0,3,6,1,1,3,2,1,0,12,3,0,0,1,0,0,0,0,0,0,0,0,0
39,84,50,48,41,10,23,16,7,9,7,8,7,4,4,4,0,2,2,1,2,3,2,0,0,0,0,1,1,0,0,0,0,0,0
40,98,46,60,24,32,26,13,8,15,8,4,3,2,4,6,5,1,2,2,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0
41,126,50,55,29,5,21,16,15,8,8,11,7,5,3,5,1,4,1,2,4,0,1,1,1,0,0,0,1,0,0,0,0,0,0
42,130,52,68,23,10,19,13,6,12,7,5,5,5,3,5,5,2,2,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
43,124,41,65,25,30,18,13,9,13,8,2,5,3,1,5,4,1,2,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0
44,124,33,58,30,32,22,11,4,9,8,4,1,7,5,5,5,2,2,2,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0
45,122,42,58,25,28,18,15,9,9,8,4,4,4,0,5,2,3,2,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
46,122,36,63,20,34,16,14,7,9,7,3,3,5,7,5,3,4,2,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
47,125,35,57,29,32,14,10,6,11,7,3,3,4,4,5,4,2,2,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0
48,124,47,60,24,28,20,12,12,12,8,3,2,5,2,5,6,2,1,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0
