sentence_index,RB,NN,JJ,NNS,VBG,IN,VB,NNP,CC,DT,VBN,VBP,MD,TO,CD,VBZ,PRP,WRB,PRP$,JJR,VBD,WDT,RBR,WP,POS,NNPS,RP,JJS,EX,(,),UH,RBS,FW
33,116,74,53,27,33,19,10,10,7,5,2,5,3,2,5,6,0,0,2,2,1,1,1,1,0,0,0,0,0,1,1,0,0,0
34,112,66,53,35,32,20,12,17,12,5,2,5,2,3,6,3,1,0,2,2,0,2,0,0,0,0,1,0,1,0,0,1,0,0
35,96,23,28,21,13,13,13,0,7,9,5,6,4,6,1,7,4,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
36,79,29,31,35,8,23,17,12,10,10,7,4,2,7,6,6,2,1,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
37,2,5,5,8,2,5,3,0,3,6,3,3,1,1,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,2,7,5,5,1,2,1,0,2,3,1,1,1,2,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
39,100,59,45,27,12,23,5,0,5,8,9,4,1,2,1,2,4,3,1,5,7,1,1,0,0,0,1,0,0,0,0,1,0,0
40,99,27,27,30,13,20,12,20,6,8,5,9,3,5,5,2,4,3,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0
41,126,40,62,25,31,20,12,12,8,3,3,5,3,4,5,1,3,2,2,3,0,2,2,0,0,1,0,1,0,0,0,0,0,0
42,128,64,57,26,9,14,13,16,6,7,2,5,2,8,5,8,2,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
43,124,41,59,25,38,20,14,10,8,5,0,4,4,4,5,6,3,1,4,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0
44,125,35,62,26,31,19,15,12,9,7,3,3,4,2,5,5,3,2,1,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0
45,122,36,61,25,31,21,14,11,4,7,6,5,5,4,5,4,5,1,4,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0
46,127,33,65,26,30,17,14,10,7,4,4,3,3,7,5,4,2,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
47,124,34,58,29,37,20,14,9,8,4,5,4,3,3,5,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,124,44,61,23,27,23,15,14,5,5,4,4,5,2,5,3,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,124,37,53,24,34,12,15,10,8,6,3,4,4,5,6,2,2,3,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0
50,119,39,54,16,29,16,14,13,3,8,2,3,5,6,5,3,1,0,1,1,0,1,2,2,0,1,0,0,0,0,0,0,0,0
