sentence_index,NN,IN,JJ,NNS,DT,RB,PRP,VBG,CC,VB,VBP,VBZ,TO,VBN,NNP,PRP$,VBD,MD,WRB,WDT,RBR,JJR,RP,CD,POS,UH,WP,EX,FW,RBS,JJS,PDT,NNPS
24,19,15,8,11,10,6,5,1,3,4,2,3,2,5,2,1,2,3,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0
25,12,13,13,8,5,5,6,8,4,6,3,4,4,3,0,3,0,1,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0
26,16,13,8,5,8,5,7,8,6,3,6,4,3,4,2,2,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
27,18,11,7,5,8,6,9,6,3,1,7,2,4,4,1,2,3,0,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0
28,13,7,9,8,4,4,6,3,6,3,2,4,3,3,3,4,5,0,1,3,0,2,1,1,0,0,0,0,0,0,0,0,0
29,15,12,11,5,8,8,9,3,5,8,2,2,4,3,1,1,4,2,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0
30,28,17,10,5,9,5,8,3,6,6,4,5,4,0,2,3,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
31,20,16,9,5,11,8,7,8,4,3,3,5,3,5,0,1,0,0,0,2,1,0,0,0,1,0,0,0,3,0,0,0,0
32,21,12,10,6,9,5,4,5,7,4,2,8,4,6,5,4,1,1,0,3,0,1,0,1,0,1,0,1,0,0,0,0,0
33,22,14,13,10,8,7,5,1,5,6,7,4,6,2,3,4,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
34,15,11,10,10,6,6,5,8,5,3,6,5,4,9,2,4,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0
35,21,14,16,12,12,6,6,5,8,6,2,5,4,3,2,3,5,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0
36,23,16,17,9,11,6,11,4,7,7,6,5,4,3,0,3,4,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
37,22,18,14,10,10,7,7,6,5,2,3,6,1,3,1,2,3,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
38,29,17,13,7,14,6,8,8,5,9,5,3,6,1,1,1,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
39,15,13,10,11,3,10,7,10,5,6,5,1,4,2,4,5,1,3,1,1,0,1,0,0,0,0,0,0,3,1,0,0,0
40,16,16,16,11,10,5,5,8,7,5,4,5,3,1,10,2,0,2,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0
41,11,14,12,9,11,3,6,4,5,7,4,2,2,3,10,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
42,15,16,13,8,10,6,8,7,4,4,3,0,2,2,3,0,7,1,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0
43,14,14,14,4,10,4,5,7,2,4,2,6,1,2,4,2,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
44,17,11,17,7,10,0,6,2,3,7,4,2,3,3,5,1,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
45,14,12,11,9,10,5,3,7,3,4,2,0,1,0,5,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
