sentence_index,NNS,NN,JJ,IN,VBG,RB,VB,VBP,NNP,VBN,DT,CC,VBZ,TO,MD,CD,VBD,PRP,PRP$,WRB,WDT,WP,POS,RBR,JJR,(,),EX,RP,JJS,NNPS,RBS,FW,PDT
32,197,27,35,17,8,15,5,18,11,4,10,4,13,3,1,3,2,0,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0
33,160,41,42,14,6,15,3,27,0,1,3,4,6,3,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
34,41,118,68,16,7,5,13,10,5,78,5,5,2,2,5,3,13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,164,31,40,16,10,12,9,21,4,1,5,5,8,5,4,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,43,63,71,17,12,34,12,7,14,76,3,6,4,5,5,4,14,1,2,0,1,0,0,1,0,1,1,0,0,0,2,0,0,0
37,133,95,38,17,10,34,4,15,3,2,12,6,9,1,2,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
38,130,82,44,15,11,31,6,13,10,3,6,3,8,3,1,3,2,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0
39,15,200,87,9,21,13,4,9,0,12,6,7,4,3,2,0,4,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
40,24,195,96,10,19,3,7,8,3,7,3,5,0,2,4,2,4,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1,0
41,19,16,22,16,6,8,4,3,2,1,9,4,5,4,1,0,0,2,3,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
42,50,216,51,15,31,6,6,8,2,4,6,8,6,3,4,0,2,1,2,1,3,0,1,0,0,2,2,0,0,0,0,0,0,0
43,147,111,33,19,19,14,5,10,0,2,6,5,11,3,3,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
44,15,301,49,17,14,4,1,7,1,1,5,5,3,1,0,1,6,1,2,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0
45,57,158,43,27,32,9,7,7,2,1,11,8,7,5,3,0,3,2,2,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0
46,27,154,46,20,117,11,10,16,1,1,8,6,3,4,2,2,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
47,22,151,35,14,64,39,9,6,0,12,13,8,4,3,4,0,3,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
48,23,174,40,17,7,9,18,16,1,5,5,8,1,4,8,0,2,3,4,0,1,3,0,0,1,0,0,1,1,1,0,1,0,0
49,227,37,27,18,15,3,8,29,12,3,9,8,10,4,2,3,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
50,170,123,32,16,9,6,13,17,19,0,8,7,8,4,3,3,4,1,3,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
