sentence_index,NNS,NN,JJ,IN,VB,VBG,CC,DT,RB,MD,VBP,TO,PRP,NNP,VBZ,VBN,WRB,PRP$,WDT,WP,JJR,CD,RBR,VBD,RP,POS,JJS,RBS,EX,),NNPS,$,(
38,31,27,23,18,11,9,8,7,8,6,4,4,2,2,3,1,3,2,1,2,1,0,0,2,1,0,0,0,0,0,0,0,0
39,34,40,27,22,9,11,11,8,7,5,4,7,3,2,4,1,3,2,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0
40,28,34,27,25,7,10,9,12,5,2,5,4,2,0,5,3,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
41,33,29,24,27,8,13,12,12,7,3,8,6,6,0,8,9,2,2,2,2,0,0,2,0,0,0,1,1,0,0,0,0,0
42,29,30,24,26,11,17,10,9,5,6,4,2,3,0,4,4,2,4,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0
43,51,30,23,25,8,6,12,13,4,3,7,7,3,3,6,2,2,2,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0
44,47,27,32,24,10,15,13,10,4,6,5,3,4,1,3,2,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
45,49,29,16,23,13,13,11,7,9,7,4,4,4,4,3,5,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,49,31,23,27,11,14,11,9,2,4,4,4,3,0,5,4,2,3,0,1,1,1,0,0,1,3,0,0,0,0,0,0,0
47,42,32,24,24,10,16,13,9,10,4,4,6,2,1,7,3,2,2,0,1,3,0,1,1,0,2,0,0,0,0,0,0,0
48,51,50,47,32,19,13,11,13,11,5,8,7,2,26,5,4,3,1,5,1,2,7,0,1,0,0,0,0,0,0,0,0,0
49,56,38,43,32,19,22,11,9,7,4,8,6,4,27,2,5,1,2,2,2,0,7,2,2,1,0,0,0,0,0,1,0,0
50,67,54,72,37,17,34,10,6,51,4,13,5,3,29,3,25,1,2,2,0,2,9,2,5,1,2,0,1,0,2,0,1,1
