sentence_index,NNS,NN,IN,JJ,VB,CC,DT,VBG,RB,VBP,MD,PRP,TO,VBZ,NNP,VBN,WRB,PRP$,VBD,WP,WDT,POS,RP,JJR,RBR,CD,JJS,PDT,EX,RBS,(,)
26,23,17,11,15,10,7,3,7,8,6,6,3,4,4,1,2,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
27,34,24,18,17,14,9,6,7,7,6,6,3,6,2,4,0,0,2,0,1,2,0,0,3,1,0,0,0,0,1,0,0
28,22,33,17,13,9,10,8,10,4,6,5,1,2,4,4,1,4,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
29,40,25,16,8,8,13,7,7,3,4,4,2,3,2,1,3,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0
30,24,31,22,26,10,7,8,10,9,6,6,2,4,3,1,3,2,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0
31,35,25,20,17,11,9,2,9,3,5,4,1,4,3,2,7,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
32,33,31,23,17,7,11,13,10,8,5,3,2,4,9,1,5,2,4,1,1,1,1,1,0,1,0,0,0,0,0,0,0
33,36,27,19,17,10,11,6,6,2,7,5,7,4,3,1,2,2,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0
34,23,26,18,16,6,8,11,4,8,9,2,7,4,5,0,3,3,3,1,2,1,0,1,1,1,0,0,1,0,0,0,0
35,27,33,19,19,7,9,8,11,3,10,2,5,3,1,1,1,3,3,2,1,1,1,0,0,2,0,0,0,0,0,0,0
36,31,30,23,13,9,11,10,14,6,3,4,3,3,5,0,3,3,3,1,0,1,2,0,1,0,0,0,0,0,0,0,0
37,34,32,21,21,8,12,10,12,7,5,3,3,2,5,1,2,1,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0
38,28,31,27,16,7,10,10,11,15,10,3,4,3,6,3,4,2,2,2,1,3,0,2,1,2,0,0,0,0,0,0,0
39,32,31,23,27,14,10,14,11,4,10,4,2,6,6,1,2,2,1,0,1,2,0,0,0,0,0,1,0,0,1,0,0
40,28,40,21,20,10,10,11,11,10,8,6,5,5,7,2,5,1,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0
41,34,30,24,31,10,10,13,19,9,4,3,4,4,8,0,2,1,2,1,1,1,1,1,0,2,0,1,0,0,0,0,0
42,42,29,23,27,10,9,5,15,5,6,3,2,5,4,0,3,1,1,1,1,2,1,1,1,0,1,1,0,0,0,0,0
43,42,37,24,18,10,10,14,17,3,8,5,2,6,4,2,2,1,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0
44,43,28,22,22,9,10,5,13,9,6,7,4,4,3,3,3,2,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0
45,30,41,27,26,7,9,18,12,7,7,4,6,1,10,3,4,4,3,3,4,1,2,1,1,0,0,0,0,0,0,0,0
46,37,43,30,21,6,11,16,10,12,9,3,5,6,8,1,5,5,3,3,0,2,2,0,1,2,0,1,0,0,0,0,0
47,37,46,37,26,12,9,13,18,13,9,7,3,6,5,2,3,4,1,2,1,3,0,2,1,1,0,0,0,0,0,0,0
48,44,49,34,52,17,8,13,18,15,10,5,3,5,2,30,2,2,2,1,2,3,1,1,0,2,7,0,0,0,0,1,1
49,47,48,27,47,15,10,11,17,14,5,7,5,4,7,27,3,1,0,3,0,1,2,1,0,1,7,0,0,1,0,1,1
50,2,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
