sentence_index,RB,JJ,NN,VBN,NNS,VBG,IN,VBD,VB,DT,CC,NNP,VBP,TO,MD,VBZ,PRP,CD,WRB,PRP$,WDT,WP,JJR,RBR,POS,RP,EX,NNPS,JJS,RBS,PDT,UH,FW
14,57,95,99,16,38,28,25,15,9,9,8,2,4,5,3,5,2,1,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0
15,65,107,90,17,34,26,20,23,12,8,4,8,2,4,3,8,0,4,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0
16,69,94,97,30,22,21,11,17,9,3,6,9,6,2,3,5,3,4,2,1,4,0,0,0,0,0,0,0,1,0,0,0,0
17,73,95,84,30,26,26,13,22,12,6,7,11,3,7,1,5,2,4,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0
18,91,74,65,41,26,17,23,11,14,9,10,21,5,6,2,5,0,6,1,3,2,0,1,0,0,0,1,2,0,0,0,0,0
19,107,83,52,42,19,28,16,5,12,5,7,12,5,4,5,4,0,4,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0
20,112,75,52,49,19,29,11,15,9,2,5,16,3,4,1,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21,103,65,67,53,24,19,18,13,9,8,5,13,2,3,2,3,0,4,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0
22,108,91,55,42,30,16,14,13,10,4,7,12,4,5,2,1,0,4,2,2,0,0,0,0,1,0,0,2,0,0,0,0,1
23,116,76,45,58,22,16,15,14,16,4,8,7,4,3,7,4,2,3,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0
24,110,63,69,75,19,25,12,11,6,9,5,7,2,2,1,3,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,117,65,67,77,15,26,6,13,11,2,7,3,1,2,4,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,92,69,66,61,26,21,19,12,14,8,6,8,5,5,4,3,4,4,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
27,4,9,15,0,14,6,7,0,8,4,2,0,1,1,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,3,8,13,0,10,1,9,1,6,3,3,0,2,2,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,2,11,15,2,15,1,8,0,5,3,3,2,5,1,2,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
30,65,56,54,49,31,12,24,7,22,9,7,14,5,7,10,8,4,5,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0
31,63,41,42,45,15,13,11,11,6,6,3,0,3,0,4,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
32,129,72,59,74,9,21,7,21,3,1,3,2,2,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
33,109,80,81,60,11,22,8,24,6,7,4,3,1,1,4,3,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
34,2,5,17,3,9,2,9,0,5,7,3,0,3,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,77,59,53,43,16,22,13,14,10,9,6,5,2,3,4,2,2,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0
36,63,54,50,29,9,20,6,13,4,5,2,0,2,1,2,3,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
37,49,48,43,17,7,11,5,11,4,5,2,0,5,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,54,53,46,21,6,8,4,15,3,7,3,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,25,34,34,13,6,13,4,5,4,4,4,0,2,2,2,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
40,42,42,39,22,16,10,8,12,5,8,7,3,1,2,2,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,37,44,40,18,15,12,13,9,6,8,4,3,3,2,2,4,2,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0
42,81,95,59,29,25,18,10,13,7,7,5,5,2,2,4,2,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
43,70,64,61,22,18,22,8,15,5,7,4,4,2,4,3,1,1,1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0
44,80,71,68,29,12,25,11,15,9,8,6,4,2,3,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
45,70,50,47,34,6,18,5,10,5,7,4,1,3,2,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0
